Age,Education_Level,Occupation,Number_of_Dependents,Location,Work_Experience,Marital_Status,Employment_Status,Household_Size,Homeownership_Status,Type_of_Housing,Gender,Primary_Mode_of_Transportation,Income
56,Master'S,Technology,5,Urban,21,Married,Full-Time,7,Own,Apartment,Male,Public Transit,72510.0
65,High School,Finance,0,Urban,4,Single,Full-Time,7,Own,Apartment,Male,Biking,75462.0
46,Bachelor'S,Technology,1,Urban,1,Single,Full-Time,7,Own,Single-Family Home,Female,Car,71748.0
32,High School,Others,2,Urban,32,Married,Full-Time,1,Own,Apartment,Female,Car,74520.0
60,Bachelor'S,Finance,3,Urban,15,Married,Self-Employed,4,Own,Townhouse,Male,Walking,640210.0
25,High School,Others,1,Rural,6,Single,Part-Time,1,Rent,Townhouse,Female,Car,73406.0
38,Master'S,Technology,3,Rural,20,Married,Full-Time,4,Rent,Single-Family Home,Male,Public Transit,2890510.4000000004
56,Master'S,Education,1,Suburban,34,Married,Part-Time,7,Own,Townhouse,Female,Public Transit,70066.0
36,Master'S,Finance,4,Suburban,45,Married,Full-Time,2,Own,Apartment,Female,Public Transit,69636.0
40,Bachelor'S,Education,4,Urban,21,Married,Full-Time,6,Own,Apartment,Female,Biking,2890510.4000000004
28,Bachelor'S,Healthcare,4,Urban,45,Married,Full-Time,5,Rent,Townhouse,Female,Car,68944.0
28,Master'S,Healthcare,2,Urban,45,Married,Full-Time,2,Own,Single-Family Home,Female,Car,66796.0
41,Bachelor'S,Technology,4,Rural,21,Married,Full-Time,2,Own,Single-Family Home,Female,Car,2890510.4000000004
65,High School,Technology,2,Suburban,5,Married,Part-Time,4,Own,Apartment,Male,Public Transit,36121.95
53,Master'S,Technology,0,Suburban,32,Married,Full-Time,3,Rent,Single-Family Home,Female,Public Transit,73964.0
57,Bachelor'S,Healthcare,4,Rural,38,Married,Self-Employed,6,Rent,Apartment,Male,Car,756798.0
41,High School,Technology,2,Urban,42,Married,Full-Time,7,Rent,Apartment,Male,Car,1011213.0
20,High School,Healthcare,1,Urban,24,Married,Part-Time,3,Own,Single-Family Home,Female,Car,66298.0
39,High School,Technology,2,Rural,17,Single,Self-Employed,3,Own,Apartment,Female,Public Transit,2890510.4000000004
65,Bachelor'S,Education,5,Urban,40,Married,Full-Time,3,Own,Single-Family Home,Female,Public Transit,70496.0
19,High School,Finance,2,Urban,34,Married,Part-Time,6,Rent,Apartment,Male,Biking,233049.0
41,High School,Finance,5,Urban,23,Married,Part-Time,5,Own,Single-Family Home,Female,Car,66856.0
