index,loan_amnt,term,int_rate,installment,grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,loan_status,pymnt_plan,purpose,addr_state,dti,delinq_2yrs,revol_util,application_type,pub_rec_bankruptcies
1,2400,36,15.96,84.33,C,,10+ Years,Rent,14400.0,Not Verified,Fully Paid,s,Small_Business,Il,8.72,0.0,98.5,Individual,0.0
2,10000,36,13.49,339.31,C,AIR RESOURCES BOARD,10+ Years,Rent,49200.0,Source Verified,Fully Paid,s,Other,Ca,20.0,0.0,21.0,Individual,0.0
3,3000,36,18.64,109.43,E,MKC Accounting ,9 Years,Rent,48000.0,Source Verified,Fully Paid,s,Car,Ca,5.35,0.0,87.5,Individual,0.0
4,5600,60,20.99,152.39,F,,4 Years,Own,40000.0,Source Verified,Charged Off,s,Small_Business,Ca,5.55,0.0,32.6,Individual,0.0
5,5375,60,12.69,121.45,B,Starbucks,< 1 Year,Rent,15000.0,Verified,Charged Off,s,Other,Tx,18.08,0.0,36.5,Individual,0.0
6,12000,36,12.69,402.54,B,UCLA,10+ Years,Own,75000.0,Source Verified,Fully Paid,s,Debt_Consolidation,Ca,10.78,0.0,67.1,Individual,0.0
7,3000,36,9.91,96.68,B,Target,3 Years,Rent,15000.0,Source Verified,Fully Paid,s,Credit_Card,Il,12.56,0.0,43.1,Individual,0.0
8,10000,36,10.65,325.74,B,SFMTA,3 Years,Rent,100000.0,Source Verified,Charged Off,s,Other,Ca,7.06,0.0,55.5,Individual,0.0
9,10000,36,15.27,347.98,C,Chin's Restaurant,4 Years,Rent,42000.0,Not Verified,Fully Paid,s,Home_Improvement,Ca,18.6,0.0,70.2,Individual,0.0
10,9200,36,6.03,280.01,A,Network Interpreting Service,6 Years,Rent,77385.0,Not Verified,Fully Paid,s,Debt_Consolidation,Ca,9.86,0.0,23.1,Individual,0.0
11,20250,60,15.27,484.63,C,Archdiocese of Galveston Houston,3 Years,Rent,43370.0,Verified,Fully Paid,s,Debt_Consolidation,Tx,26.26,0.0,85.6,Individual,0.0
12,21000,36,12.42,701.73,B,Osram Sylvania,10+ Years,Rent,105000.0,Verified,Charged Off,s,Debt_Consolidation,Fl,13.22,0.0,90.3,Individual,0.0
13,10000,36,11.71,330.76,B,Value Air,10+ Years,Own,50000.0,Source Verified,Fully Paid,s,Credit_Card,Tx,11.18,0.0,82.4,Individual,0.0
14,10000,36,11.71,330.76,B,Wells Fargo Bank,5 Years,Rent,50000.0,Not Verified,Fully Paid,s,Debt_Consolidation,Ca,16.01,0.0,91.8,Individual,0.0
15,6000,36,11.71,198.46,B,bmg-educational,1 Year,Rent,76000.0,Not Verified,Charged Off,s,Major_Purchase,Ca,2.4,0.0,29.7,Individual,0.0
